Evento,Luogo Principale,Spazio Specifico,Data,Latitudine,Longitudine
Pasqua,Venezia,Venezia,20.04.2025,45.434272,12.338271
Lunedì di Pasqua (Pasquetta),Venezia,Venezia,21.04.2025,45.434272,12.338271
Liberazione Italia,Venezia,Venezia,25.04.2025,45.434272,12.338271
Festa del lavoro,Venezia,Venezia,01.05.2025,45.434272,12.338271
Festa dell'Europa,Venezia,Venezia,09.05.2025,45.434272,12.338271
Festa della mamma,Venezia,Venezia,11.05.2025,45.434272,12.338271
Festa della Repubblica Italia,Venezia,Venezia,02.06.2025,45.434272,12.338271
Pentecoste,Venezia,Venezia,08.06.2025,45.434272,12.338271
Ferragosto,Venezia,Venezia,15.08.2025,45.434272,12.338271
Fine ora estate,Venezia,Venezia,26.10.2025,45.434272,12.338271
Tutti i santi,Venezia,Venezia,01.11.2025,45.434272,12.338271
Festa della Madonna della Salute,Venezia,Venezia,21.11.2025,45.434272,12.338271
Primo Avvento,Venezia,Venezia,30.11.2025,45.434272,12.338271
Secondo Avvento,Venezia,Venezia,07.12.2025,45.434272,12.338271
Immacolata Concezione,Venezia,Venezia,08.12.2025,45.434272,12.338271
Terzo Avvento,Venezia,Venezia,14.12.2025,45.434272,12.338271
Quarto Avvento,Venezia,Venezia,21.12.2025,45.434272,12.338271
Natale,Venezia,Venezia,25.12.2025,45.434272,12.338271
Santo Stefano,Venezia,Venezia,26.12.2025,45.434272,12.338271
San Silvestro,Venezia,Venezia,31.12.2025,45.434272,12.338271
Capodanno,Venezia,Venezia,01.01.2026,45.434272,12.338271
Epifania,Venezia,Venezia,06.01.2026,45.434272,12.338271
Le Palme,Venezia,Venezia,29.03.2026,45.434272,12.338271
Inizio ora legale,Venezia,Venezia,29.03.2026,45.434272,12.338271
Pasqua,Venezia,Venezia,05.04.2026,45.434272,12.338271
Lunedì di Pasqua (Pasquetta),Venezia,Venezia,06.04.2026,45.434272,12.338271
Liberazione Italia,Venezia,Venezia,25.04.2026,45.434272,12.338271
Festa del lavoro,Venezia,Venezia,01.05.2026,45.434272,12.338271
Festa dell'Europa,Venezia,Venezia,09.05.2026,45.434272,12.338271
Festa della mamma,Venezia,Venezia,10.05.2026,45.434272,12.338271
Pentecoste,Venezia,Venezia,24.05.2026,45.434272,12.338271
Festa della Repubblica Italia,Venezia,Venezia,02.06.2026,45.434272,12.338271
Ferragosto,Venezia,Venezia,15.08.2026,45.434272,12.338271
Festa di San Francesco d’Assisi,Venezia,Venezia,04.10.2026,45.434272,12.338271
Fine ora estate,Venezia,Venezia,25.10.2026,45.434272,12.338271
Tutti i santi,Venezia,Venezia,01.11.2026,45.434272,12.338271
Festa della Madonna della Salute,Venezia,Venezia,21.11.2026,45.434272,12.338271
Primo Avvento,Venezia,Venezia,29.11.2026,45.434272,12.338271
Secondo Avvento,Venezia,Venezia,06.12.2026,45.434272,12.338271
Immacolata Concezione,Venezia,Venezia,08.12.2026,45.434272,12.338271
Terzo Avvento,Venezia,Venezia,13.12.2026,45.434272,12.338271
Quarto Avvento,Venezia,Venezia,20.12.2026,45.434272,12.338271
Natale,Venezia,Venezia,25.12.2026,45.434272,12.338271
Santo Stefano,Venezia,Venezia,26.12.2026,45.434272,12.338271
San Silvestro,Venezia,Venezia,31.12.2026,45.434272,12.338271
Capodanno,Venezia,Venezia,01.01.2027,45.434272,12.338271
Epifania,Venezia,Venezia,06.01.2027,45.434272,12.338271
Le Palme,Venezia,Venezia,21.03.2027,45.434272,12.338271
Pasqua,Venezia,Venezia,28.03.2027,45.434272,12.338271
Inizio ora legale,Venezia,Venezia,28.03.2027,45.434272,12.338271
